reaction_smiles,reactant_smiles,reagent_smiles,product_smiles,source_url,scraped_at,extraction_method
C(C)(=O)OC\C=C(/C)\CC\C=C(/C)\CCC=C(C)C>ClCCl.C(C)(C)(C)OO.[Se](=O)=O.[O-]S(=O)(=S)[O-].[Na+].[Na+]>C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\C=O)/C)/C)/C,['C(C)(=O)OC\\C=C(/C)\\CC\\C=C(/C)\\CCC=C(C)C'],"['ClCCl', 'C(C)(C)(C)OO', '[Se](=O)=O', '[O-]S(=O)(=S)[O-]', '[Na+]', '[Na+]']",['C(C)(=O)OC\\C=C(\\CC\\C=C(\\CC\\C=C(\\C=O)/C)/C)/C'],https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0,2025-12-19T20:26:58.481537,js-regex
C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\C=O)/C)/C)/C>CO[H].[Na+].[BH4-]>C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\CO)/C)/C)/C,['C(C)(=O)OC\\C=C(\\CC\\C=C(\\CC\\C=C(\\C=O)/C)/C)/C'],"['CO[H]', '[Na+]', '[BH4-]']",['C(C)(=O)OC\\C=C(\\CC\\C=C(\\CC\\C=C(\\CO)/C)/C)/C'],https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0,2025-12-19T20:26:58.481554,js-regex
C(C)(=O)OC\C=C(\CC\C=C(\CC\C=C(\CO)/C)/C)/C>ClCCl.ClC=1C=C(C(=O)OO)C=CC1.C(O)([O-])=O.[Na+]>C(C)(=O)OC\C=C(\CC\C=C(\CCC1OC1(C)CO)/C)/C,['C(C)(=O)OC\\C=C(\\CC\\C=C(\\CC\\C=C(\\CO)/C)/C)/C'],"['ClCCl', 'ClC=1C=C(C(=O)OO)C=CC1', 'C(O)([O-])=O', '[Na+]']",['C(C)(=O)OC\\C=C(\\CC\\C=C(\\CCC1OC1(C)CO)/C)/C'],https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0,2025-12-19T20:26:58.481571,js-regex
C(C1=CC=CC=C1)(=O)Cl.C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@@]1(C)CO)/C)/C>C1(=CC=NC=C1)N(C)C.ClCCl.CCN(CC)CC>C(C1=CC=CC=C1)(=O)OC[C@@]1(O[C@H]1CC\C(=C\CC\C(=C\COC(C)=O)\C)\C)C,"['C(C1=CC=CC=C1)(=O)Cl', 'C(C)(=O)OC\\C=C(\\CC\\C=C(\\CC[C@@H]1O[C@@]1(C)CO)/C)/C']","['C1(=CC=NC=C1)N(C)C', 'ClCCl', 'CCN(CC)CC']",['C(C1=CC=CC=C1)(=O)OC[C@@]1(O[C@H]1CC\\C(=C\\CC\\C(=C\\COC(C)=O)\\C)\\C)C'],https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0,2025-12-19T20:26:58.481575,js-regex
C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@@]1(C)CO)/C)/C>ClCCl.C(C)(=O)OI1(OC(C2=C1C=CC=C2)=O)(OC(C)=O)OC(C)=O>C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@]1(C)C=O)/C)/C,['C(C)(=O)OC\\C=C(\\CC\\C=C(\\CC[C@@H]1O[C@@]1(C)CO)/C)/C'],"['ClCCl', 'C(C)(=O)OI1(OC(C2=C1C=CC=C2)=O)(OC(C)=O)OC(C)=O']",['C(C)(=O)OC\\C=C(\\CC\\C=C(\\CC[C@@H]1O[C@]1(C)C=O)/C)/C'],https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0,2025-12-19T20:26:58.481588,js-regex
C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@]1(C)C=O)/C)/C>O.C1CCCO1.CC(C)(C)O.Cl(=O)[O-].[Na+].CC(C)=CC>C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@]1(C)C(=O)O)/C)/C,['C(C)(=O)OC\\C=C(\\CC\\C=C(\\CC[C@@H]1O[C@]1(C)C=O)/C)/C'],"['O', 'C1CCCO1', 'CC(C)(C)O', 'Cl(=O)[O-]', '[Na+]', 'CC(C)=CC']",['C(C)(=O)OC\\C=C(\\CC\\C=C(\\CC[C@@H]1O[C@]1(C)C(=O)O)/C)/C'],https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0,2025-12-19T20:26:58.481593,js-regex
S(=O)(=O)(OC)OC.C(C)(=O)OC\C=C(\CC\C=C(\CC[C@@H]1O[C@]1(C)C(=O)O)/C)/C>C([O-])([O-])=O.[K+].[K+].CC(=O)C>C(C)(=O)OC/C=C(/CC/C=C(/CC[C@H]1[C@@](O1)(C(=O)OC)C)\C)\C,"['S(=O)(=O)(OC)OC', 'C(C)(=O)OC\\C=C(\\CC\\C=C(\\CC[C@@H]1O[C@]1(C)C(=O)O)/C)/C']","['C([O-])([O-])=O', '[K+]', '[K+]', 'CC(=O)C']",['C(C)(=O)OC/C=C(/CC/C=C(/CC[C@H]1[C@@](O1)(C(=O)OC)C)\\C)\\C'],https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0,2025-12-19T20:26:58.481596,js-regex
C[Si](C)(C)Cl.C(C)(=O)OC/C=C(/CC/C=C(/CC[C@H]1[C@@](O1)(C(=O)OC)C)\C)\C>C1CCCO1.Cl.N1=C(C=C(C=C1C)C)C.[cH-]1cccc1.[cH-]1cccc1.Cl[Ti+2]Cl.[Mn]>C(C)(=O)OC[C@@H]1[C@]2(CC[C@@H]([C@]([C@@H]2CCC1=C)(C(=O)OC)C)O)C,"['C[Si](C)(C)Cl', 'C(C)(=O)OC/C=C(/CC/C=C(/CC[C@H]1[C@@](O1)(C(=O)OC)C)\\C)\\C']","['C1CCCO1', 'Cl', 'N1=C(C=C(C=C1C)C)C', '[cH-]1cccc1', '[cH-]1cccc1', 'Cl[Ti+2]Cl', '[Mn]']",['C(C)(=O)OC[C@@H]1[C@]2(CC[C@@H]([C@]([C@@H]2CCC1=C)(C(=O)OC)C)O)C'],https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0,2025-12-19T20:26:58.481600,js-regex
C(C)(=O)OC[C@@H]2[C@]1(CC[C@@H]([C@]([C@@H]1CCC2=C)(C(=O)[O-])C)OC(=S)S[Na])C>C1(=CC=CC=C1)C.CC(C)(C#N)/N=N/C(C)(C)C#N.C(CCC)[SnH](CCCC)CCCC>C(C)(=O)OC[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C,['C(C)(=O)OC[C@@H]2[C@]1(CC[C@@H]([C@]([C@@H]1CCC2=C)(C(=O)[O-])C)OC(=S)S[Na])C'],"['C1(=CC=CC=C1)C', 'CC(C)(C#N)/N=N/C(C)(C)C#N', 'C(CCC)[SnH](CCCC)CCCC']",['C(C)(=O)OC[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C'],https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0,2025-12-19T20:26:58.481603,js-regex
C(C)(=O)OC[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C>C(Cl)(Cl)(Cl)[H].CO[H].C([O-])([O-])=O.[K+].[K+]>OC[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C,['C(C)(=O)OC[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C'],"['C(Cl)(Cl)(Cl)[H]', 'CO[H]', 'C([O-])([O-])=O', '[K+]', '[K+]']",['OC[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C'],https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0,2025-12-19T20:26:58.481607,js-regex
OC[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C>ClCCl.C(C)(=O)OI1(OC(C2=C1C=CC=C2)=O)(OC(C)=O)OC(C)=O.C(O)([O-])=O.[Na+]>O=C[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C,['OC[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C'],"['ClCCl', 'C(C)(=O)OI1(OC(C2=C1C=CC=C2)=O)(OC(C)=O)OC(C)=O', 'C(O)([O-])=O', '[Na+]']",['O=C[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C'],https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/10,2025-12-19T20:27:04.479733,js-regex
[Cl-].COC[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1.O=C[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C>C1CCCO1.Cl.C[Si](C)(C)[N-][Si](C)(C)C.[Li+]>C[C@]1(CCC[C@@]2([C@H](C(CC[C@@H]12)=C)CC=O)C)C(=O)OC,"['[Cl-]', 'COC[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1', 'O=C[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C']","['C1CCCO1', 'Cl', 'C[Si](C)(C)[N-][Si](C)(C)C', '[Li+]']",['C[C@]1(CCC[C@@]2([C@H](C(CC[C@@H]12)=C)CC=O)C)C(=O)OC'],https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/10,2025-12-19T20:27:04.479749,js-regex
C1(=CC=CC=C1)P(=C(C=O)C)(C1=CC=CC=C1)C1=CC=CC=C1.C[C@]1(CCC[C@@]2([C@H](C(CC[C@@H]12)=C)CC=O)C)C(=O)OC>C1(=CC=CC=C1)C>C[C@]1(CCC[C@@]2([C@H](C(CC[C@@H]12)=C)C\C=C(\C=O)/C)C)C(=O)OC,"['C1(=CC=CC=C1)P(=C(C=O)C)(C1=CC=CC=C1)C1=CC=CC=C1', 'C[C@]1(CCC[C@@]2([C@H](C(CC[C@@H]12)=C)CC=O)C)C(=O)OC']",['C1(=CC=CC=C1)C'],['C[C@]1(CCC[C@@]2([C@H](C(CC[C@@H]12)=C)C\\C=C(\\C=O)/C)C)C(=O)OC'],https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/10,2025-12-19T20:27:04.479752,js-regex
[Br-].C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1.C[C@]1(CCC[C@@]2([C@H](C(CC[C@@H]12)=C)C\C=C(\C=O)/C)C)C(=O)OC>CC(C)(C)[O-].[K+].C1CCCO1.[Cl-].[NH4+]>COC(=O)[C@@]1(CCC[C@@]2([C@H](C(CC[C@@H]12)=C)C\C=C(\C=C)/C)C)C,"['[Br-]', 'C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1', 'C[C@]1(CCC[C@@]2([C@H](C(CC[C@@H]12)=C)C\\C=C(\\C=O)/C)C)C(=O)OC']","['CC(C)(C)[O-]', '[K+]', 'C1CCCO1', '[Cl-]', '[NH4+]']",['COC(=O)[C@@]1(CCC[C@@]2([C@H](C(CC[C@@H]12)=C)C\\C=C(\\C=C)/C)C)C'],https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/10,2025-12-19T20:27:04.479756,js-regex
C(C)(C)C=1C(=CC=C(C1OC)OC)OC>ClCCl.C1(=CC=C(C=C1)S(=O)(=O)O)C.IN1C(CCC1=O)=O.[O-]S(=O)(=S)[O-].[Na+].[Na+]>IC1=C(C(=C(C(=C1)OC)OC)C(C)C)OC,['C(C)(C)C=1C(=CC=C(C1OC)OC)OC'],"['ClCCl', 'C1(=CC=C(C=C1)S(=O)(=O)O)C', 'IN1C(CCC1=O)=O', '[O-]S(=O)(=S)[O-]', '[Na+]', '[Na+]']",['IC1=C(C(=C(C(=C1)OC)OC)C(C)C)OC'],https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/10,2025-12-19T20:27:04.479759,js-regex
C(C1=CC=CC=C1)OC[C@@]1(O[C@H]1CC\C(=C\C=C)\C)C.IC1=C(C(=C(C(=C1)OC)OC)C(C)C)OC>C1CCCO1.[OH-].[Na+].B1C2CCCC1CCC2.ClCCl.[Pd](Cl)Cl.C1(=CC=CC=C1)P(C1=CC=CC=C1)[C-]1C=CC=C1.[CH-]1C=CC=C1.[Fe+2].C1(=CC=CC=C1)P(C1=CC=CC=C1)[C-]1C=CC=C1.[CH-]1C=CC=C1.[Fe+2]>C(C1=CC=CC=C1)OC[C@@]1(O[C@H]1CC\C(=C\CCC1=C(C(=C(C(=C1)OC)OC)C(C)C)OC)\C)C,"['C(C1=CC=CC=C1)OC[C@@]1(O[C@H]1CC\\C(=C\\C=C)\\C)C', 'IC1=C(C(=C(C(=C1)OC)OC)C(C)C)OC']","['C1CCCO1', '[OH-]', '[Na+]', 'B1C2CCCC1CCC2', 'ClCCl', '[Pd](Cl)Cl', 'C1(=CC=CC=C1)P(C1=CC=CC=C1)[C-]1C=CC=C1', '[CH-]1C=CC=C1', '[Fe+2]', 'C1(=CC=CC=C1)P(C1=CC=CC=C1)[C-]1C=CC=C1', '[CH-]1C=CC=C1', '[Fe+2]']",['C(C1=CC=CC=C1)OC[C@@]1(O[C@H]1CC\\C(=C\\CCC1=C(C(=C(C(=C1)OC)OC)C(C)C)OC)\\C)C'],https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/10,2025-12-19T20:27:04.479763,js-regex
